"lemma"	"YF_prog_count"	"YF_non_prog"
"1"	"abandon"	1	4
"2"	"accord"	2	0
"3"	"ache"	1	0
"4"	"act"	3	12
"5"	"add"	1	47
"6"	"address"	1	5
"7"	"advance"	2	2
"8"	"aim"	1	4
"9"	"amuse"	1	2
"10"	"answer"	2	56
"11"	"apply"	0	4
"12"	"appreciate"	1	4
"13"	"argue"	1	9
"14"	"arrange"	1	8
"15"	"arrest"	0	4
"16"	"arrive"	1	29
"17"	"ask"	3	306
"18"	"astonish"	1	2
"19"	"attack"	1	10
"20"	"attempt"	1	4
"21"	"attend"	0	5
"22"	"await"	1	0
"23"	"bake"	1	2
"24"	"bark"	0	12
"25"	"bay"	1	0
"26"	"be"	15	6919
"27"	"bear"	2	32
"28"	"beat"	5	17
"29"	"beckon"	1	0
"30"	"become"	5	70
"31"	"beg"	1	12
"32"	"begin"	16	174
"33"	"behave"	2	4
"34"	"believe"	1	79
"35"	"bend"	2	15
"36"	"bet"	1	17
"37"	"blame"	1	0
"38"	"bleed"	2	2
"39"	"block"	1	0
"40"	"blow"	3	28
"42"	"bob"	1	0
"43"	"boil"	0	5
"44"	"bother"	2	16
"45"	"bow"	1	10
"47"	"break"	1	56
"48"	"breathe"	1	19
"49"	"bring"	2	97
"50"	"bristle"	1	0
"51"	"browse"	1	0
"52"	"bubble"	1	1
"53"	"budge"	1	0
"54"	"bug"	0	1
"55"	"build"	2	21
"56"	"burn"	0	25
"57"	"burst"	1	16
"58"	"buy"	0	31
"59"	"buzz"	1	2
"60"	"call"	8	146
"62"	"carry"	7	51
"63"	"catch"	1	76
"64"	"cause"	3	13
"65"	"celebrate"	0	2
"66"	"chain"	1	0
"67"	"change"	3	48
"68"	"chase"	5	4
"69"	"chat"	1	2
"70"	"cheat"	0	3
"71"	"check"	3	17
"72"	"cheer"	0	8
"73"	"chew"	1	8
"74"	"chirp"	1	0
"75"	"choke"	3	3
"76"	"chop"	1	3
"77"	"chuck"	1	0
"79"	"clap"	1	7
"80"	"clash"	1	0
"81"	"clean"	2	8
"82"	"clear"	0	16
"83"	"cling"	1	0
"84"	"close"	0	48
"85"	"cluck"	1	0
"86"	"collapse"	0	6
"87"	"collect"	0	9
"88"	"come"	43	618
"89"	"complain"	2	7
"90"	"compress"	1	0
"91"	"concentrate"	1	6
"92"	"confer"	1	0
"93"	"confuse"	2	1
"94"	"consider"	1	19
"95"	"cook"	0	9
"96"	"count"	2	14
"97"	"cower"	1	0
"98"	"crash"	0	7
"99"	"crawl"	1	14
"100"	"creep"	0	17
"101"	"cross"	0	27
"102"	"crouch"	3	7
"103"	"crush"	1	4
"104"	"cry"	9	84
"105"	"cut"	2	40
"106"	"cycle"	0	1
"107"	"dance"	3	13
"108"	"darken"	1	0
"109"	"dash"	1	6
"110"	"dawn"	1	0
"111"	"daydream"	1	0
"112"	"deal"	2	6
"113"	"deliver"	1	6
"114"	"demand"	1	21
"115"	"depend"	1	5
"116"	"descend"	1	4
"117"	"develop"	0	5
"118"	"die"	4	56
"119"	"dig"	6	12
"120"	"dip"	1	4
"121"	"disappear"	0	32
"122"	"discount"	1	0
"123"	"discuss"	3	4
"124"	"do"	56	640
"125"	"doubt"	1	8
"126"	"doze"	1	0
"127"	"drag"	1	23
"128"	"draw"	1	51
"129"	"dread"	0	2
"130"	"dream"	2	12
"131"	"drench"	1	0
"132"	"drift"	2	9
"133"	"drink"	6	20
"134"	"drip"	1	3
"135"	"drive"	3	33
"136"	"drool"	1	0
"137"	"drop"	1	57
"138"	"drown"	0	8
"139"	"earn"	0	5
"140"	"eat"	3	89
"141"	"eavesdrop"	1	0
"142"	"edge"	1	0
"143"	"elude"	1	0
"144"	"encourage"	0	3
"145"	"engage"	1	2
"146"	"engulf"	0	1
"147"	"enjoy"	2	21
"148"	"entertain"	2	0
"149"	"escape"	1	13
"150"	"establish"	1	0
"151"	"evaporate"	1	0
"152"	"exaggerate"	1	0
"153"	"except"	1	0
"154"	"exist"	1	10
"155"	"expect"	5	50
"156"	"experience"	0	4
"157"	"explain"	1	38
"158"	"extract"	1	0
"159"	"face"	2	21
"160"	"fade"	2	9
"161"	"fall"	0	111
"162"	"feed"	3	13
"163"	"feel"	11	276
"164"	"fight"	5	27
"165"	"fill"	0	37
"167"	"find"	0	259
"168"	"finish"	0	45
"169"	"fish"	1	3
"170"	"fix"	2	10
"171"	"flame"	1	0
"172"	"flash"	1	11
"173"	"flick"	1	6
"174"	"float"	1	12
"175"	"flood"	1	0
"176"	"flow"	1	7
"177"	"fly"	5	44
"178"	"follow"	5	68
"179"	"fool"	2	0
"180"	"force"	2	18
"181"	"form"	1	10
"182"	"garden"	1	0
"183"	"gasp"	1	13
"184"	"gather"	2	19
"185"	"gaze"	1	15
"186"	"get"	35	655
"187"	"give"	10	251
"188"	"glow"	1	7
"189"	"go"	76	938
"190"	"gorge"	1	0
"191"	"grab"	0	34
"192"	"grasp"	1	6
"193"	"grin"	4	18
"194"	"grip"	2	7
"195"	"groan"	2	6
"196"	"grow"	8	66
"197"	"growl"	2	9
"198"	"guard"	3	3
"199"	"hail"	1	0
"201"	"hammer"	1	2
"202"	"hand"	1	24
"203"	"hang"	6	43
"204"	"happen"	16	121
"205"	"have"	16	1056
"206"	"head"	4	21
"207"	"hear"	4	243
"208"	"help"	1	98
"209"	"hide"	7	32
"210"	"hoist"	1	0
"211"	"hold"	20	121
"212"	"hope"	6	59
"213"	"hover"	2	0
"214"	"hum"	1	2
"215"	"hunt"	5	2
"216"	"hurry"	1	29
"217"	"hurt"	0	34
"218"	"ignore"	0	18
"219"	"imagine"	1	33
"220"	"imitate"	1	0
"221"	"increase"	1	0
"222"	"insist"	1	14
"223"	"inspect"	1	0
"224"	"interfere"	1	0
"225"	"interrogate"	1	0
"226"	"interrupt"	0	13
"227"	"interview"	1	0
"228"	"introduce"	1	5
"229"	"invent"	0	6
"230"	"iron"	1	0
"231"	"issue"	1	1
"232"	"jangle"	1	0
"233"	"jerk"	1	0
"234"	"jest"	1	0
"235"	"jog"	1	0
"236"	"join"	0	25
"237"	"joke"	6	0
"238"	"jump"	0	44
"239"	"keel"	1	0
"240"	"keep"	5	165
